Source:,C:\Users\christian.saiz\Documents\0_NOAA\1_NOAA_work\1_XBT\New_Autolauncher\al_kicad_project\AOML_AB_3.0\AOML_AB_3.0_reorganized-v3.kicad_sch,,,,,,,,,
Date:,6/25/2024 14:38,,,,,,,,,
Tool:,Eeschema 7.0.7,,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,
Component Count:,238,,,,,,,,,
,,,,,,,,,,
Collated Components:,,,,,,,,,,
,,,,,,,,,,
Item,Qty,Reference(s),Value,Part,LibPart,Footprint,Datasheet,DNP,Cost,Digikey
64,1,TP15,Vref,,Connector:TestPoint,TestPoint:TestPoint_Pad_1.0x1.0mm,~,,,
65,1,TP17,DIR,,Connector:TestPoint,TestPoint:TestPoint_Pad_1.0x1.0mm,~,,,
66,1,U1,L7812ABD2T-TR,L7812ABD2T-TR,:AMS1117-5.0_1,Linear_regulator_L7812ABD2T_TR:DPAK_BD2T-TR_STM,https://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf,,1.1,https://www.digikey.com/en/products/detail/stmicroelectronics/L7812ABD2T-TR/1038261
67,1,U2,LM7805MPX,LM7805MPX/NOPB,Regulator_Linear:AMS1117-5.0,Package_TO_SOT_SMD:SOT-223-3_TabPin2,https://www.ti.com/lit/ds/symlink/lm7800.pdf,,1.61,https://www.digikey.com/en/products/detail/texas-instruments/LM7805MPX-NOPB/6110583
68,1,U3,MCP1825ST-3302E/DB,MCP1825ST-3302E/DB,Regulator_Linear:LD1117S12TR_SOT223,Package_TO_SOT_SMD:SOT-223-3_TabPin2,https://ww1.microchip.com/downloads/en/DeviceDoc/22056b.pdf,,0.69,https://www.digikey.com/en/products/detail/microchip-technology/MCP1825ST-3302E-DB/1635518
69,1,U4,MAX3232,MAX3232EIPWR,Interface_UART:MAX3232,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,https://datasheets.maximintegrated.com/en/ds/MAX3222-MAX3241.pdf,,1.07,https://www.digikey.com/en/products/detail/texas-instruments/MAX3232EIPWR/968150?s=N4IgTCBcDa4JwDYC0BGOAWAzMlSByAIiALoC%2BQA
70,1,U5,INA213AIDCKR,INA213AIDCKR,Amplifier_Current:INA181,Current_sense_amp_INA213AIDCKR:DCK0006A_L,https://www.ti.com/lit/ds/symlink/ina211.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1717452190429&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fina211,,0.97,https://www.digikey.com/en/products/detail/texas-instruments/INA213AIDCKR/1898607
71,1,U6,STM32F103RBTx,STM32F103RBT6TR,MCU_ST_STM32F1:STM32F103RBTx,STM32F103RBT6TR:LQFP64-10x10mm,"https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1139/STM32F103x8,B.pdf",,7.5,https://www.digikey.com/en/products/detail/stmicroelectronics/STM32F103RBT6TR/2122443
72,1,U7,AT24C01D-STUM-T,AT24C01D-STUM-T,Memory_EEPROM:AT24CS01-STUM,Package_TO_SOT_SMD:SOT-23-5,https://ww1.microchip.com/downloads/en/DeviceDoc/24AA01-24LC01B-24FC01-1K-I2C-Serial-EEPROM-20001711M.pdf,,0.16,https://www.digikey.com/en/products/detail/microchip-technology/AT24C01D-STUM-T/4914368
73,2,"U8, U9",ULN2003ADR,ULN2003ADR,ULN2003AN:ULN2003,Relay_driver_ULN2003ADR:D0016A_L,http://www.ti.com/lit/ds/symlink/uln2003a.pdf,,0.46,https://www.digikey.com/en/products/detail/texas-instruments/ULN2003ADR/277011?s=N4IgTCBcDa4JwDYC0BGAzAgHKpA5AIiALoC%2BQA
74,8,"U10, U11, U12, U13, U14, U15, U16, U17",TLP170AM,"TLP170AM(TPL,E",Relay_SolidState:TLP175A,Package_SO:MFSOP6-4_4.4x3.6mm_P1.27mm,https://toshiba.semicon-storage.com/info/TLP170AM_datasheet_en_20210524.pdf?did=69016&prodName=TLP170AM,,1.28,https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/TLP170AM-TPL-E/12698771
75,1,U18,LMV321B-TR,LMV321B-TR,Amplifier_Operational:LM321,OpAmp_LMV321B-TR:S5TSOT23-5-A_TPK-M,http://file.3peakic.com.cn:8080/product/Datasheet_LMV321B-LMV358B-LMV324B.pdf,,0.34,https://www.digikey.com/en/products/detail/3peak/LMV321B-TR/22228606
76,1,Y1,8MHz,ABM3-8.000MHZ-D2Y-T,Device:Crystal,Crystal_8mhz_small:XTAL_ABM3-8.000MHZ-D2Y-T_ABR-M,https://abracon.com/Resonators/ABM3.pdf,,0.57,https://www.digikey.com/en/products/detail/abracon-llc/ABM3-8-000MHZ-D2Y-T/2344570
