Source:,C:\Users\christian.saiz\Documents\0_NOAA\1_NOAA_work\1_XBT\New_Autolauncher\al_kicad_project\AOML_AB_3.0\AOML_AB_3.0_reorganized-v2.kicad_sch,,,,,,,
Date:,4/17/2024 15:53,,,,,,,
Tool:,Eeschema 7.0.7,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,
Component Count:,241,,,,,,,
,,,,,,,,
Collated Components:,,,,,,,,
,,,,,,,,
Item,Qty,Reference(s),Value,Part,Cost,Digikey,Footprint,Datasheet
22,1,J2,216550-1,216550-1,1.68,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/216550-1/1920152,Connector_8x1_216550:CONN_216550-1_TEC,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=216550&DocType=Customer+Drawing&DocLang=English
23,9,"J3, J8, J9, J10, J11, J12, J13, J14, J15",Conn_01x03,TBP02R2-381-03BE,0.58,https://www.digikey.com/en/products/detail/cui-devices/TBP02R2-381-03BE/10238470,CUI_3x1_connector:CUI_TBP02R2-381-03BE,https://www.cuidevices.com/product/resource/tbp02r2-381.pdf
24,1,J4,Conn_01x07,PPTC071LFBN-RC,0.6,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPTC071LFBN-RC/810146,Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf
25,1,J5,Conn_01x03,PPPC031LFBN-RC,0.38,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPPC031LFBN-RC/810175,Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf
26,1,J6,Conn_01x03,PH1-03-UA,0.1,https://www.digikey.com/en/products/detail/adam-tech/PH1-03-UA/9830289,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,https://www.digikey.com/en/products/detail/adam-tech/PH1-03-UA/9830289
27,1,J7,Screw_Terminal_01x07,TB001-500-07BE,0.96,https://www.digikey.com/en/products/detail/cui-devices/TB001-500-07BE/10064063,Header_screw_7x1_TB001-500-07BE:CUI_TB001-500-07BE,https://www.cuidevices.com/product/resource/tb001-500.pdf
28,8,"J16, J17, J18, J19, J20, J21, J22, J23",216548-1,216548-1,1.76,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/216548-1/1920151,Connector_TE_x6_216548-1:CONN_216548-1_TYC,https://www.te.com/usa-en/product-216548-1.datasheet.pdf
29,1,J24,Conn_01x02,PPPC021LFBN-RC,0.34,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPPC021LFBN-RC/810174,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf
30,12,"JP1, JP4, JP5, JP9, JP10, JP11, JP12, JP13, JP14, JP15, JP16, JP17",SolderJumper_2_Open,,,,Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,~
31,3,"JP6, JP7, JP8",SolderJumper_3_Open,,,,Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,~
